row_id,CERF.A1,CERF.C2,Ratios.ratio_pronouns,Ratios.ratio_coconjunctions,TTR.ttr,author
1,0.7181208053691275,0,0,0,0.6438356164383562,davinci
2,0.5033783783783784,0,0.08547008547008547,0.06837606837606838,0.8361774744027304,bloomz
3,0.7116228070175439,0.00219298245614035,0.16597510373443983,0.06431535269709543,0.45766345123258306,human
4,0.6222222222222222,0.0074074074074074,0.08673469387755102,0.1020408163265306,0.5506172839506173,davinci
5,0.75,0,0.1111111111111111,0.07407407407407407,0.6753246753246753,cohere
6,0.5906040268456376,0.00671140939597315,0.12345679012345678,0.04938271604938271,0.7318840579710145,davinci
7,0.52,0,0.11428571428571428,0.04761904761904761,0.8448275862068966,bloomz
8,0.7821782178217822,0,0.21904761904761905,0.0761904761904762,0.585,dolly
9,0.7545454545454545,0,0.08433734939759036,0.14457831325301204,0.5047169811320755,cohere
10,0.5621890547263682,0,0.1826086956521739,0.03478260869565217,0.9,bloomz
11,0.5819935691318328,0,0.0218978102189781,0.08029197080291971,0.5935483870967742,human
12,0.6502732240437158,0,0.03225806451612903,0.03225806451612903,0.664804469273743,human
13,0.47540983606557374,0,0,0.10526315789473684,0.9333333333333332,bloomz
14,0.6820083682008368,0,0.10526315789473684,0.07894736842105263,0.6497890295358649,GPT
15,0.7350199733688415,0.00798934753661784,0.0784313725490196,0.09068627450980392,0.584931506849315,human
16,0.5353535353535354,0,0.05673758865248227,0.01418439716312056,0.9166666666666666,bloomz
17,0.8530465949820788,0,0.18571428571428572,0.14285714285714285,0.5627240143369175,davinci
18,0.5827814569536424,0,0.1111111111111111,0.03703703703703703,0.9202898550724636,bloomz
19,0.7740259740259741,0.00519480519480519,0.10628019323671498,0.10628019323671498,0.5416666666666666,davinci
20,0.08955223880597014,0,0.09090909090909093,0,0.9253731343283582,bloomz
21,0.8698224852071006,0.0029585798816568,0.17341040462427745,0.06358381502890173,0.5946745562130178,davinci
22,0.7876712328767124,0,0.0975609756097561,0.14634146341463414,0.5818815331010453,davinci
23,0.6291079812206573,0,0.09448818897637797,0.06299212598425197,0.6103286384976526,GPT
24,0.7716763005780347,0.00578034682080924,0.20606060606060608,0.0303030303030303,0.5175438596491229,human
25,0.8059171597633136,0,0.297029702970297,0.099009900990099,0.44351961950059454,GPT
26,0.7525773195876289,0,0.1590909090909091,0.13636363636363635,0.7938144329896907,bloomz
27,0.6356589147286822,0.02325581395348837,0.075,0.075,0.7131782945736435,davinci
28,0.8571428571428571,0.0313588850174216,0.03361344537815126,0.07563025210084033,0.4160839160839161,GPT
29,0.8599487617421008,0,0.5305263157894737,0.08210526315789474,0.34329632792485054,GPT
30,0.8703703703703703,0,0.3670886075949367,0.0759493670886076,0.5527950310559007,davinci
31,0.5897435897435898,0.00854700854700854,0.08064516129032258,0.03225806451612903,0.7606837606837606,davinci
32,0.7046632124352331,0,0.0784313725490196,0.06862745098039216,0.7,dolly
33,0.7219730941704036,0.00896860986547085,0.1282051282051282,0.05128205128205128,0.5248868778280543,GPT
34,0.3839662447257384,0,0.0847457627118644,0.02542372881355932,0.8528138528138528,bloomz
35,0.6627218934911243,0,0.16470588235294115,0.03529411764705882,0.7878787878787878,bloomz
36,0.9073170731707316,0,0.3626373626373626,0.10989010989010987,0.4926829268292683,GPT
37,0.792778649921507,0,0.08968609865470852,0.13452914798206278,0.41823899371069184,human
38,0.3026315789473684,0,0.1,0.1,0.9315068493150684,bloomz
39,0.7212389380530974,0.00884955752212389,0.1487603305785124,0.10743801652892562,0.59375,GPT
40,0.7482993197278912,0,0.1744186046511628,0.03488372093023256,0.9194630872483222,bloomz
41,0.9902439024390244,0,0.2023809523809524,0.10714285714285714,0.36893203883495146,cohere
42,0.4846153846153846,0.01923076923076923,0.03007518796992481,0.05263157894736842,0.5983935742971888,dolly
43,0.5874125874125874,0,0.17857142857142858,0.0625,0.5824561403508772,GPT
44,0.9132653061224488,0,0.2376237623762376,0.07920792079207921,0.6530612244897959,GPT
45,0.5308641975308642,0,0.14444444444444443,0.04444444444444444,0.8509316770186336,bloomz
46,0.5689655172413793,0,0.1111111111111111,0.05555555555555555,0.9649122807017544,bloomz
47,0.703125,0,0.16666666666666666,0.03125,0.8284023668639053,bloomz
48,0.6371681415929203,0.01769911504424778,0.09433962264150944,0.05660377358490566,0.7207207207207207,davinci
49,0.6774193548387096,0,0,0.07692307692307693,0.967741935483871,bloomz
50,0.6728110599078341,0.00460829493087557,0.128,0.032,0.5813953488372093,GPT
51,0.521978021978022,0,0.03529411764705882,0.08235294117647059,0.6666666666666666,davinci
52,0.7,0.0027027027027027,0.2275862068965517,0.1310344827586207,0.5567567567567567,davinci
53,0.6598984771573604,0,0.10382513661202186,0.04918032786885246,0.3734015345268542,dolly
54,0.6423076923076924,0,0.03375527426160337,0.08438818565400844,0.5290697674418605,human
55,0.7345132743362832,0.00442477876106194,0.09734513274336284,0.04424778761061947,0.5466666666666666,GPT
56,0.717632552404439,0.00246609124537607,0.20689655172413793,0.08275862068965517,0.40074441687344914,GPT
57,0.4107648725212464,0.0056657223796034,0.0925925925925926,0.01851851851851851,0.7771428571428571,bloomz
58,0.813953488372093,0,0.1952662721893491,0.08875739644970414,0.4941176470588235,cohere
59,0.8534351145038168,0.00610687022900763,0.14473684210526316,0.08552631578947369,0.5182926829268293,davinci
60,0.7113821138211383,0.01626016260162601,0.01538461538461538,0.06923076923076923,0.5413223140495868,human
61,0.8,0,0.3181818181818182,0.0625,0.5813953488372093,human
62,0.8564705882352941,0,0.08205128205128205,0.19487179487179487,0.3952941176470588,cohere
