"row_id","CERF.A1","CERF.C2","Ratios.ratio_pronouns","Ratios.ratio_coconjunctions","TTR.ttr","author"
12,0.650273224043716,0,0.032258064516129,0.032258064516129,0.664804469273743,"human"
19,0.774025974025974,0.00519480519480519,0.106280193236715,0.106280193236715,0.541666666666667,"davinci"
56,0.717632552404439,0.00246609124537607,0.206896551724138,0.0827586206896552,0.400744416873449,"GPT"
61,0.8,0,0.318181818181818,0.0625,0.581395348837209,"human"
71,0.731843575418994,0,0.114243323442137,0.0623145400593472,0.396761133603239,"GPT"
97,0.677685950413223,0.00826446280991735,0.114285714285714,0.0857142857142857,0.560165975103734,"GPT"
100,0.643636363636364,0.00727272727272727,0.072992700729927,0.109489051094891,0.559701492537313,"human"
108,0.594594594594595,0.018018018018018,0.114754098360656,0.0163934426229508,0.717592592592593,"bloomz"
110,0.732558139534884,0,0.0972222222222222,0.0833333333333333,0.623456790123457,"dolly"
141,0.428280773143438,0.00101729399796541,0.0238500851788756,0.0477001703577513,0.468064823641563,"human"
155,0.76017130620985,0.0149892933618844,0.0871794871794872,0.0358974358974359,0.488172043010753,"dolly"
160,0.730700179533214,0,0.132616487455197,0.046594982078853,0.413978494623656,"davinci"
162,0.906911142454161,0,0.315942028985507,0.11304347826087,0.463380281690141,"davinci"
171,0.584905660377358,0,0.157894736842105,0.0526315789473684,0.907894736842105,"bloomz"
183,0.330508474576271,0,0.025,0.0125,0.84297520661157,"bloomz"
189,0.805054151624549,0,0.0516431924882629,0.0516431924882629,0.27112676056338,"dolly"
207,0.779069767441861,0.0232558139534884,0.0888888888888889,0.0444444444444444,0.424418604651163,"cohere"
210,0.598039215686274,0.0130718954248366,0.0540540540540541,0.027027027027027,0.598615916955017,"human"
213,0.614420062695925,0,0.143884892086331,0.100719424460432,0.569620253164557,"davinci"
221,0.4625,0,0.0555555555555556,0.0555555555555556,0.672727272727273,"human"
225,0.711340206185567,0.00114547537227949,0.0735009671179884,0.104448742746615,0.42939150401837,"davinci"
226,0.724385245901639,0.00204918032786885,0.179047619047619,0.0495238095238095,0.405349794238683,"GPT"
242,0.573643410852713,0.0232558139534884,0.0563380281690141,0.0422535211267606,0.8,"bloomz"
249,0.763986013986014,0,0.214788732394366,0.0563380281690141,0.397548161120841,"davinci"
252,0.81496062992126,0,0.028169014084507,0.0633802816901408,0.448818897637795,"dolly"
