"CERF.A1","CERF.A2","CERF.B1","CERF.B2","CERF.C1","CERF.C2","Dependency trees.longest_distance","Dependency trees.average_distance_all","freq.ratio_in_first_10","freq.ratio_in_first_100","freq.ratio_in_first_1000","freq.ratio_in_further","lengths.avg_sentence_length_without_spaces","lengths.avg_word_length_with_spaces","lengths.avg_words_per_sentence","Ratios.ratio_adverbs","Ratios.ratio_pronouns","Ratios.ratio_determiners","Ratios.ratio_conjunctions","Ratios.ratio_subconjunctions","Ratios.ratio_coconjunctions","relfreq func.ADP","relfreq func.AUX","relfreq func.DET","relfreq func.PART","relfreq func.PRON","relfreq func.OVERALL","relfreq func.INTJ","sentiment.sentiment","sentiment.formality","TTR.ttr","author"
0.661016949152542,0.103235747303544,0.11402157164869,0.0554699537750385,0.0600924499229584,0,11,2.79484950829805,0.220496894409938,0.383540372670807,0.504658385093168,0.290372670807453,104.787878787879,5.3695652173913,19.5151515151515,0.092485549132948,0.109826589595376,0.234104046242775,0.121387283236994,0.0433526011560694,0.0780346820809249,0.104838709677419,0.0282258064516129,0.108870967741935,0.0241935483870968,0.0510752688172043,0.317204301075269,NA,15,1,0.56055900621118,"GPT"
0.733777038269551,0.101497504159734,0.0848585690515807,0.0415973377703827,0.0465890183028286,0.0016638935108153,12,2.81916502781003,0.284280936454849,0.418060200668896,0.546822742474916,0.224080267558528,101.7,5.10200668896321,19.9333333333333,0.106109324758842,0.090032154340836,0.273311897106109,0.106109324758842,0.0257234726688103,0.0803858520900322,0.105563480741797,0.0456490727532097,0.121255349500713,0.0228245363766049,0.0399429386590585,0.335235378031384,NA,-1,0.998327759197324,0.558528428093645,"GPT"
0.594495412844037,0.0862385321100917,0.091743119266055,0.0587155963302752,0.0311926605504587,0,9,2.68224127283153,0.220779220779221,0.380333951762523,0.519480519480519,0.26530612244898,106.75,5.54545454545455,19.25,0.0836120401337793,0.0802675585284281,0.20066889632107,0.120401337792642,0.0367892976588629,0.0836120401337793,0.103833865814696,0.0271565495207668,0.0958466453674121,0.0383386581469648,0.0383386581469648,0.303514376996805,NA,0,0.996289424860853,0.602968460111317,"GPT"
0.643730886850153,0.0825688073394495,0.129969418960245,0.0351681957186544,0.0412844036697248,0.00305810397553516,10,2.88254075696,0.240369799691834,0.377503852080123,0.489984591679507,0.254237288135593,103.294117647059,5.41140215716487,19.0882352941176,0.0898203592814371,0.101796407185629,0.266467065868263,0.116766467065868,0.0179640718562874,0.0988023952095808,0.1,0.031578947368421,0.117105263157895,0.0236842105263158,0.0447368421052632,0.317105263157895,NA,-1,0.996918335901387,0.560862865947612,"GPT"
0.631284916201117,0.100558659217877,0.0949720670391061,0.0633147113594041,0.0558659217877095,0.00558659217877095,9,2.69224856094572,0.211610486891386,0.408239700374532,0.531835205992509,0.220973782771536,121.041666666667,5.44007490636704,22.25,0.136986301369863,0.13013698630137,0.212328767123288,0.136986301369863,0.0273972602739726,0.10958904109589,0.100486223662885,0.0356564019448947,0.100486223662885,0.0194489465153971,0.0615883306320908,0.317666126418152,NA,4,0.99063670411985,0.574906367041198,"GPT"
0.627868852459016,0.0967213114754098,0.10327868852459,0.060655737704918,0.0540983606557377,0.00491803278688524,9,2.66531212966047,0.218181818181818,0.408264462809917,0.555371900826446,0.236363636363636,112.724137931034,5.40330578512397,20.8620689655172,0.105590062111801,0.170807453416149,0.208074534161491,0.124223602484472,0.0372670807453416,0.0869565217391304,0.0988538681948424,0.0458452722063037,0.0959885386819484,0.0229226361031519,0.0787965616045845,0.342406876790831,NA,17,0.99504132231405,0.542148760330578,"GPT"
0.80564263322884,0.0846394984326019,0.0815047021943574,0.04858934169279,0.0360501567398119,0,9,2.79082519555925,0.233226837060703,0.439297124600639,0.583067092651757,0.23482428115016,115.857142857143,5.18210862619808,22.3571428571429,0.114114114114114,0.057057057057057,0.252252252252252,0.216216216216216,0.0600600600600601,0.156156156156156,0.0688259109311741,0.0661268556005398,0.11336032388664,0.0445344129554656,0.0256410256410256,0.318488529014845,NA,13,1,0.396166134185303,"Llama"
0.824786324786325,0.101139601139601,0.0726495726495727,0.0541310541310541,0.0256410256410256,0.00142450142450142,9,2.72465434154992,0.221739130434783,0.431884057971014,0.585507246376812,0.243478260869565,115.516129032258,5.18985507246377,22.258064516129,0.134770889487871,0.045822102425876,0.242587601078167,0.215633423180593,0.0700808625336927,0.1455525606469,0.0689655172413793,0.062807881773399,0.110837438423645,0.0467980295566502,0.020935960591133,0.310344827586207,NA,13,1,0.373913043478261,"Llama"
0.782287822878229,0.118081180811808,0.0664206642066421,0.022140221402214,0.040590405904059,0.0055350553505535,8,2.76683658057008,0.260299625468165,0.421348314606742,0.561797752808989,0.243445692883895,98.8214285714286,5.18164794007491,19.0714285714286,0.0748299319727891,0.0748299319727891,0.231292517006803,0.142857142857143,0.0238095238095238,0.119047619047619,0.0881410256410256,0.046474358974359,0.108974358974359,0.0304487179487179,0.0352564102564102,0.309294871794872,NA,8,0.98689138576779,0.50187265917603,"Llama"
0.827160493827161,0.0727023319615912,0.0631001371742112,0.0246913580246913,0.0493827160493827,0,12,3.0520753718992,0.23994452149792,0.467406380027739,0.647711511789182,0.209431345353675,115.41935483871,4.9625520110957,23.258064516129,0.129834254143646,0.12707182320442,0.212707182320442,0.187845303867403,0.0552486187845304,0.132596685082873,0.0989143546441496,0.0687575392038601,0.0928829915560917,0.0361881785283474,0.0554885404101327,0.352231604342581,NA,13,0.981969486823856,0.423023578363384,"Llama"
